Дата;Регион;Значение
2019-06-01;Санкт-Петербург;116602
2019-06-01;Саратовская область;40469
2019-06-01;Сахалинская область;110897
2019-06-01;Свердловская область;54863
2019-06-01;Смоленская область;38793
2019-06-01;Ставропольский край;44444
2019-06-01;Тамбовская область;40875
2019-06-01;Тверская область;49451
2019-06-01;Томская область;52557
2019-06-01;Тульская область;57051
2019-06-01;Тюменская область;63636
2019-06-01;Удмуртская Республика;48990
2019-06-01;Ульяновская область;36769
2019-06-01;Хабаровский край;68091
2019-06-01;Ханты-Мансийский АО - Югра;74153
2019-06-01;Челябинская область;31429
2019-06-01;Чеченская Республика;42969
2019-06-01;Чувашская Республика;42857
2019-06-01;Чукотский АО;109998
2019-06-01;Ямало-Ненецкий АО;76213
2019-06-01;Ярославская область;46416
2019-07-01;Россия;59091
2019-07-01;Адыгея;42308
2019-07-01;Алтай;46481
2019-07-01;Алтайский край;47872
2019-07-01;Амурская область;68702
2019-07-01;Архангельская область;54145
2019-07-01;Астраханская область;40000
2019-07-01;Белгородская область;51111
2019-07-01;Брянская область;35738
2019-07-01;Владимирская область;37146
2019-07-01;Волгоградская область;45882
2019-07-01;Вологодская область;42946
2019-07-01;Воронежская область;46842
2019-07-01;Еврейская автономная область;37500
2019-07-01;Забайкальский край;51705
2019-07-01;Ивановская область;41640
2019-07-01;Иркутская область;52885
2019-07-01;Кабардино-Балкарская Республика;43529
2019-07-01;Калининградская область;55625
2019-07-01;Калужская область;56250
2019-07-01;Камчатский край;63485
2019-07-01;Кемеровская область;42563
2019-07-01;Кировская область;42954
2019-07-01;Костромская область;44737
2019-07-01;Краснодарский край;63636
2019-07-01;Красноярский край;58333
2019-07-01;Курганская область;35515
2019-07-01;Курская область;43533
2019-07-01;Ленинградская область;84011
2019-07-01;Липецкая область;43541
2019-07-01;Магаданская область;50794
2019-07-01;Мордовия;44737
2019-07-01;Москва;181481
2019-07-01;Московская область;94444
2019-07-01;Мурманская область;47126
2019-07-01;Ненецкий АО;76923
2019-07-01;Нижегородская область;60930
2019-07-01;Новгородская область;40217
